"p"	"c"	"o"	"f"	"g"	"s"	"ID"
"kai__1884930"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Maledivibacter"	"NA"	"kai__1884930"
"kai__0001569"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Sporosarcina"	"NA"	"kai__0001569"
"kai__1912503"	"Tenericutes"	"NA"	"NA"	"NA"	"Candidatus Izimaplasma"	"NA"	"kai__1912503"
"kai__2082587"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Parolsenella"	"NA"	"kai__2082587"
"kai__1505657"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Intestinibacter"	"NA"	"kai__1505657"
"kai__1769729"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Hathewaya"	"NA"	"kai__1769729"
"kai__0002316"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanosphaera"	"NA"	"kai__0002316"
"kai__0704093"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Anaerobacillus"	"NA"	"kai__0704093"
"kai__0118966"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Anaerorhabdus"	"NA"	"kai__0118966"
"kai__1929297"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Bittarella"	"NA"	"kai__1929297"
"kai__1505664"	"Firmicutes"	"Tissierellia"	"Tissierellales"	"Gottschalkiaceae"	"Gottschalkia"	"NA"	"kai__1505664"
"kai__0181069"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Proteocatella"	"NA"	"kai__0181069"
"kai__0089958"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Natronincola"	"NA"	"kai__0089958"
"kai__0580024"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Enterorhabdus"	"NA"	"kai__0580024"
"kai__1924062"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Desnuesiella"	"NA"	"kai__1924062"
"kai__0448125"	"Firmicutes"	"Tissierellia"	"NA"	"NA"	"Dethiosulfatibacter"	"NA"	"kai__0448125"
"kai__1926659"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Mediterranea"	"NA"	"kai__1926659"
"kai__0146813"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Sporomusaceae"	"Dendrosporobacter"	"NA"	"kai__0146813"
"kai__0000893"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobulbaceae"	"Desulfobulbus"	"NA"	"kai__0000893"
"kai__0186831"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Acetoanaerobium"	"NA"	"kai__0186831"
"kai__2093783"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Sporomusaceae"	"Methylomusa"	"NA"	"kai__2093783"
"kai__2498454"	"Firmicutes"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Lucifera"	"NA"	"kai__2498454"
"kai__0306539"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Halolactibacillus"	"NA"	"kai__0306539"
"kai__0001016"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Capnocytophaga"	"NA"	"kai__0001016"
"kai__0033986"	"Firmicutes"	"Bacilli"	"Bacillales"	"NA"	"Exiguobacterium"	"NA"	"kai__0033986"
"kai__1930845"	"Firmicutes"	"NA"	"NA"	"NA"	"Ndongobacter"	"NA"	"kai__1930845"
"kai__1637257"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Hungateiclostridiaceae"	"Mageeibacillus"	"NA"	"kai__1637257"
"kai__1486726"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Hungateiclostridiaceae"	"Pseudobacteroides"	"NA"	"kai__1486726"
"kai__0083770"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Succinivibrionaceae"	"Succinivibrio"	"NA"	"kai__0083770"
"kai__1283313"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Alloprevotella"	"NA"	"kai__1283313"
"kai__0000379"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Rhizobium"	"NA"	"kai__0000379"
"kai__0043668"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Dermabacteraceae"	"Brachybacterium"	"NA"	"kai__0043668"
"kai__0577309"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Paraprevotella"	"NA"	"kai__0577309"
"kai__0000445"	"Proteobacteria"	"Gammaproteobacteria"	"Legionellales"	"Legionellaceae"	"Legionella"	"NA"	"kai__0000445"
"kai__0000866"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Succinivibrionaceae"	"Ruminobacter"	"NA"	"kai__0000866"
"kai__0028453"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Sphingobacterium"	"NA"	"kai__0028453"
"kai__0001378"	"Firmicutes"	"Bacilli"	"Bacillales"	"NA"	"Gemella"	"NA"	"kai__0001378"
"kai__0002373"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Sporomusaceae"	"Acetonema"	"NA"	"kai__0002373"
"kai__0171003"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Caloranaerobacter"	"NA"	"kai__0171003"
"kai__0553372"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Asaccharobacter"	"NA"	"kai__0553372"
"kai__1715798"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"Levyella"	"NA"	"kai__1715798"
"kai__0293136"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Desulfitibacter"	"NA"	"kai__0293136"
"kai__1347386"	"Firmicutes"	"Tissierellia"	"Tissierellales"	"Tissierellaceae"	"Anaerosalibacter"	"NA"	"kai__1347386"
"kai__1769713"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"Flexilinea"	"NA"	"kai__1769713"
"kai__0032068"	"Fusobacteria"	"Fusobacteriia"	"Fusobacteriales"	"Leptotrichiaceae"	"Sebaldella"	"NA"	"kai__0032068"
"kai__0051514"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Dehalobacterium"	"NA"	"kai__0051514"
"kai__0055506"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Selenomonadaceae"	"Schwartzia"	"NA"	"kai__0055506"
"kai__1193503"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	"Gilliamella"	"NA"	"kai__1193503"
"kai__1935188"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Libanicoccus"	"NA"	"kai__1935188"
"kai__0117563"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Granulicatella"	"NA"	"kai__0117563"
"kai__0065402"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales Family XII. Incertae Sedis"	"Acidaminobacter"	"NA"	"kai__0065402"
"kai__0274470"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Eubacteriaceae"	"Alkalibacter"	"NA"	"kai__0274470"
"kai__0423349"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Mucilaginibacter"	"NA"	"kai__0423349"
"kai__0040323"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	"NA"	"kai__0040323"
"kai__0000146"	"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Spirochaeta"	"NA"	"kai__0000146"
"kai__0285105"	"Firmicutes"	"Tissierellia"	"NA"	"NA"	"Tepidimicrobium"	"NA"	"kai__0285105"
"kai__1911556"	"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Sediminispirochaeta"	"NA"	"kai__1911556"
"kai__0000713"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Actinobacillus"	"NA"	"kai__0000713"
"kai__0200903"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Paraliobacillus"	"NA"	"kai__0200903"
"kai__0253255"	"Firmicutes"	"Tissierellia"	"Tissierellales"	"Tissierellaceae"	"Soehngenia"	"NA"	"kai__0253255"
"kai__0002740"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Peptococcus"	"NA"	"kai__0002740"
"kai__0051196"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Syntrophobotulus"	"NA"	"kai__0051196"
"kai__0002050"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Mobiluncus"	"NA"	"kai__0002050"
"kai__2004411"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Inediibacterium"	"NA"	"kai__2004411"
"kai__1403538"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Fervidicella"	"NA"	"kai__1403538"
"kai__0069894"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Tindallia"	"NA"	"kai__0069894"
"kai__0456492"	"Firmicutes"	"Bacilli"	"Bacillales"	"Paenibacillaceae"	"Saccharibacillus"	"NA"	"kai__0456492"
"kai__1472763"	"Firmicutes"	"Tissierellia"	"NA"	"NA"	"Kallipyga"	"NA"	"kai__1472763"
"kai__1980038"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Millionella"	"NA"	"kai__1980038"
"kai__0048736"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Ralstonia"	"NA"	"kai__0048736"
"kai__0166484"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Caminicella"	"NA"	"kai__0166484"
"kai__0001847"	"Actinobacteria"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	"NA"	"kai__0001847"
"kai__0002207"	"Euryarchaeota"	"Methanomicrobia"	"Methanosarcinales"	"Methanosarcinaceae"	"Methanosarcina"	"NA"	"kai__0002207"
"kai__1473205"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Senegalimassilia"	"NA"	"kai__1473205"
"kai__0042447"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Proteinivoraceae"	"Anaerobranca"	"NA"	"kai__0042447"
"kai__0083768"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Succinivibrionaceae"	"Succinimonas"	"NA"	"kai__0083768"
"kai__0432330"	"Firmicutes"	"Bacilli"	"Bacillales"	"Alicyclobacillaceae"	"Tumebacillus"	"NA"	"kai__0432330"
"kai__0028033"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales Family XVII. Incertae Sedis"	"Sulfobacillus"	"NA"	"kai__0028033"
"kai__0055968"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Leucobacter"	"NA"	"kai__0055968"
"kai__1329200"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Fictibacillus"	"NA"	"kai__1329200"
"kai__2282741"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Desulfofundulus"	"NA"	"kai__2282741"
"kai__0082202"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Selenomonadaceae"	"Centipeda"	"NA"	"kai__0082202"
"kai__0249529"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermoanaerobacteraceae"	"Caldanaerobacter"	"NA"	"kai__0249529"
"kai__1929105"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Anaeromicrobium"	"NA"	"kai__1929105"
"kai__2126544"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Neobitarella"	"NA"	"kai__2126544"
"kai__0041707"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Lawsonia"	"NA"	"kai__0041707"
"kai__0180162"	"Fusobacteria"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Cetobacterium"	"NA"	"kai__0180162"
"kai__0044259"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Filifactor"	"NA"	"kai__0044259"
"kai__0001839"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"	"NA"	"kai__0001839"
"kai__0106589"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Cupriavidus"	"NA"	"kai__0106589"
"kai__0191373"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Pelotomaculum"	"NA"	"kai__0191373"
"kai__1980680"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales Family XIII. Incertae Sedis"	"Ileibacterium"	"NA"	"kai__1980680"
"kai__0940557"	"Acidobacteria"	"Acidobacteriia"	"Acidobacteriales"	"Acidobacteriaceae"	"Granulicella"	"NA"	"kai__0940557"
"kai__1884934"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Paramaledivibacter"	"NA"	"kai__1884934"
"kai__0000657"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Photobacterium"	"NA"	"kai__0000657"
"kai__0029331"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Amphibacillus"	"NA"	"kai__0029331"
"kai__0079603"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Denitrobacterium"	"NA"	"kai__0079603"
"kai__0256818"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Gulosibacter"	"NA"	"kai__0256818"
"kai__1980675"	"Firmicutes"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Colibacter"	"NA"	"kai__1980675"
"kai__0013334"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Succinivibrionaceae"	"Anaerobiospirillum"	"NA"	"kai__0013334"
"kai__0046468"	"Firmicutes"	"Clostridia"	"Halanaerobiales"	"Halobacteroidaceae"	"Orenia"	"NA"	"kai__0046468"
"kai__2282742"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Desulfofarcimen"	"NA"	"kai__2282742"
"kai__1069494"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Trueperella"	"NA"	"kai__1069494"
"kai__1973275"	"Firmicutes"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Massilibacillus"	"NA"	"kai__1973275"
"kai__2042899"	"Firmicutes"	"Tissierellia"	"Tissierellales"	"Gottschalkiaceae"	"Andreesenia"	"NA"	"kai__2042899"
"kai__0000724"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Haemophilus"	"NA"	"kai__0000724"
"kai__0236752"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Hungateiclostridiaceae"	"Fastidiosipila"	"NA"	"kai__0236752"
"kai__0427925"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Syntrophomonadaceae"	"Dethiobacter"	"NA"	"kai__0427925"
"kai__0156454"	"Firmicutes"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Anaeroglobus"	"NA"	"kai__0156454"
"kai__0248038"	"Deferribacteres"	"Deferribacteres"	"Deferribacterales"	"Deferribacteraceae"	"Mucispirillum"	"NA"	"kai__0248038"
"kai__1933048"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"Neofamilia"	"NA"	"kai__1933048"
"kai__0002023"	"Firmicutes"	"Bacilli"	"Bacillales"	"Thermoactinomycetaceae"	"Thermoactinomyces"	"NA"	"kai__0002023"
"kai__0001101"	"Chlorobi"	"Chlorobia"	"Chlorobiales"	"Chlorobiaceae"	"Prosthecochloris"	"NA"	"kai__0001101"
"kai__0033870"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Coriobacterium"	"NA"	"kai__0033870"
"kai__0278993"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Thermincola"	"NA"	"kai__0278993"
"kai__1822464"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Paraburkholderia"	"NA"	"kai__1822464"
"kai__0157226"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Jeotgalibacillus"	"NA"	"kai__0157226"
"kai__2494209"	"Armatimonadetes"	"Armatimonadia"	"Capsulimonadales"	"Capsulimonadaceae"	"Capsulimonas"	"NA"	"kai__2494209"
"kai__0047054"	"Synergistetes"	"Synergistia"	"Synergistales"	"Synergistaceae"	"Dethiosulfovibrio"	"NA"	"kai__0047054"
"kai__0140458"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermoanaerobacteraceae"	"Thermacetogenium"	"NA"	"kai__0140458"
"kai__0561442"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"Anaerovirgula"	"NA"	"kai__0561442"
"kai__1543703"	"Firmicutes"	"Bacilli"	"Bacillales"	"NA"	"Desulfuribacillus"	"NA"	"kai__1543703"
"kai__1794910"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Sporomusaceae"	"Anaerosporomusa"	"NA"	"kai__1794910"
"kai__0028138"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Rikenella"	"NA"	"kai__0028138"
"kai__0196082"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Parascardovia"	"NA"	"kai__0196082"
"kai__0045669"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Salinicoccus"	"NA"	"kai__0045669"
"kai__0076632"	"Firmicutes"	"Bacilli"	"Bacillales"	"Paenibacillaceae"	"Thermobacillus"	"NA"	"kai__0076632"
"kai__0120831"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cytophagaceae"	"Dyadobacter"	"NA"	"kai__0120831"
"kai__1981050"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Phoenicibacter"	"NA"	"kai__1981050"
"kai__0000018"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Desulfuromonadaceae"	"Pelobacter"	"NA"	"kai__0000018"
"kai__0028196"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Arcobacter"	"NA"	"kai__0028196"
"kai__0000416"	"Proteobacteria"	"Gammaproteobacteria"	"Methylococcales"	"Methylococcaceae"	"Methylomonas"	"NA"	"kai__0000416"
"kai__0028263"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Arcanobacterium"	"NA"	"kai__0028263"
"kai__0342658"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Gracilibacteraceae"	"Gracilibacter"	"NA"	"kai__0342658"
"kai__0346096"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Paludibacteraceae"	"Paludibacter"	"NA"	"kai__0346096"
"kai__0423604"	"Elusimicrobia"	"Elusimicrobia"	"Elusimicrobiales"	"Elusimicrobiaceae"	"Elusimicrobium"	"NA"	"kai__0423604"
"kai__0471824"	"NA"	"NA"	"Haloplasmatales"	"Haloplasmataceae"	"Haloplasma"	"NA"	"kai__0471824"
"kai__1769008"	"Firmicutes"	"Clostridia"	"Halanaerobiales"	"NA"	"Anoxybacter"	"NA"	"kai__1769008"
"kai__1640153"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Caldisalinibacter"	"NA"	"kai__1640153"
"kai__0000022"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Shewanellaceae"	"Shewanella"	"NA"	"kai__0000022"
"kai__0227979"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Jeotgalicoccus"	"NA"	"kai__0227979"
"kai__0000338"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Xanthomonas"	"NA"	"kai__0000338"
"kai__0059739"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Flammeovirgaceae"	"Flammeovirga"	"NA"	"kai__0059739"
"kai__0129957"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermoanaerobacteraceae"	"Carboxydothermus"	"NA"	"kai__0129957"
"kai__0577469"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Demequinaceae"	"Demequina"	"NA"	"kai__0577469"
"kai__0046466"	"Firmicutes"	"Clostridia"	"Halanaerobiales"	"Halanaerobiaceae"	"Halocella"	"NA"	"kai__0046466"
"kai__1930291"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Candidatus Dichloromethanomonas"	"NA"	"kai__1930291"
"kai__0000914"	"Proteobacteria"	"Betaproteobacteria"	"Nitrosomonadales"	"Nitrosomonadaceae"	"Nitrosomonas"	"NA"	"kai__0000914"
"kai__0471826"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Candidatus Desulforudis"	"NA"	"kai__0471826"
"kai__0995014"	"Firmicutes"	"Bacilli"	"Bacillales"	"Paenibacillaceae"	"Fontibacillus"	"NA"	"kai__0995014"
"kai__0034104"	"Fusobacteria"	"Fusobacteriia"	"Fusobacteriales"	"Leptotrichiaceae"	"Streptobacillus"	"NA"	"kai__0034104"
"kai__0459532"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Terribacillus"	"NA"	"kai__0459532"
"kai__0340096"	"Firmicutes"	"Bacilli"	"Bacillales"	"Sporolactobacillaceae"	"Tuberibacillus"	"NA"	"kai__0340096"
"kai__1945592"	"Firmicutes"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Lagierella"	"NA"	"kai__1945592"
"kai__0648802"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Rummeliibacillus"	"NA"	"kai__0648802"
"kai__0046913"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Hyphomicrobiaceae"	"Devosia"	"NA"	"kai__0046913"
"kai__0168808"	"Fusobacteria"	"Fusobacteriia"	"Fusobacteriales"	"Leptotrichiaceae"	"Sneathia"	"NA"	"kai__0168808"
"kai__0233189"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"Anaerolinea"	"NA"	"kai__0233189"
"kai__0246875"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cyclobacteriaceae"	"Algoriphagus"	"NA"	"kai__0246875"
"kai__0002192"	"Euryarchaeota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanocorpusculaceae"	"Methanocorpusculum"	"NA"	"kai__0002192"
"kai__0120961"	"Chloroflexi"	"Chloroflexia"	"Chloroflexales"	"Roseiflexaceae"	"Roseiflexus"	"NA"	"kai__0120961"
"kai__0159730"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermoanaerobacterales Family III. Incertae Sedis"	"Thermovenabulum"	"NA"	"kai__0159730"
"kai__0000898"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfomicrobiaceae"	"Desulfomicrobium"	"NA"	"kai__0000898"
"kai__0001854"	"Actinobacteria"	"Actinobacteria"	"Frankiales"	"Frankiaceae"	"Frankia"	"NA"	"kai__0001854"
"kai__0057493"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Kocuria"	"NA"	"kai__0057493"
"kai__0099593"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Thermohalobacter"	"NA"	"kai__0099593"
"kai__0118747"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Bulleidia"	"NA"	"kai__0118747"
"kai__0000517"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Bordetella"	"NA"	"kai__0000517"
"kai__0002160"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanobacterium"	"NA"	"kai__0002160"
"kai__0072763"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Propionibacteriaceae"	"Tessaracoccus"	"NA"	"kai__0072763"
"kai__0129001"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Syntrophomonadaceae"	"Syntrophothermus"	"NA"	"kai__0129001"
"kai__0337670"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Pilibacter"	"NA"	"kai__0337670"
"kai__0000702"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"NA"	"Plesiomonas"	"NA"	"kai__0000702"
"kai__0001696"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Brevibacteriaceae"	"Brevibacterium"	"NA"	"kai__0001696"
"kai__0265487"	"Planctomycetes"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Blastopirellula"	"NA"	"kai__0265487"
"kai__1184396"	"Thermotogae"	"Thermotogae"	"Kosmotogales"	"Kosmotogaceae"	"Mesotoga"	"NA"	"kai__1184396"
"kai__1276290"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Caldibacillus"	"NA"	"kai__1276290"
"kai__1471399"	"Bacteroidetes"	"Bacteroidia"	"Marinilabiliales"	"Prolixibacteraceae"	"Draconibacterium"	"NA"	"kai__1471399"
"kai__1979191"	"NA"	"NA"	"Haloplasmatales"	"Haloplasmataceae"	"Inordinaticella"	"NA"	"kai__1979191"
"kai__0289201"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Pontibacillus"	"NA"	"kai__0289201"
"kai__0165696"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Novosphingobium"	"NA"	"kai__0165696"
"kai__0000013"	"Dictyoglomi"	"Dictyoglomia"	"Dictyoglomales"	"Dictyoglomaceae"	"Dictyoglomus"	"NA"	"kai__0000013"
"kai__0332100"	"Firmicutes"	"Bacilli"	"Bacillales"	"Thermoactinomycetaceae"	"Planifilum"	"NA"	"kai__0332100"
"kai__1433999"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Domibacillus"	"NA"	"kai__1433999"
"kai__1765682"	"Firmicutes"	"Bacilli"	"Bacillales"	"NA"	"Acidibacillus"	"NA"	"kai__1765682"
"kai__0000107"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cytophagaceae"	"Spirosoma"	"NA"	"kai__0000107"
"kai__0002742"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Marinobacter"	"NA"	"kai__0002742"
"kai__0203133"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Propionibacteriaceae"	"Propionimicrobium"	"NA"	"kai__0203133"
"kai__0002295"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Desulfobacterium"	"NA"	"kai__0002295"
