"p"	"c"	"o"	"f"	"g"	"s"	"ID"
"kai__0000838"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"NA"	"kai__0000838"
"kai__0204475"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Gemmiger"	"NA"	"kai__0204475"
"kai__0400634"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Lysinibacillus"	"NA"	"kai__0400634"
"kai__0002737"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Vagococcus"	"NA"	"kai__0002737"
"kai__0000374"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"Bradyrhizobium"	"NA"	"kai__0000374"
"kai__0000469"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	"NA"	"kai__0000469"
"kai__0002093"	"Tenericutes"	"Mollicutes"	"Mycoplasmatales"	"Mycoplasmataceae"	"Mycoplasma"	"NA"	"kai__0002093"
"kai__0035832"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Bilophila"	"NA"	"kai__0035832"
"kai__0082802"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Trichococcus"	"NA"	"kai__0082802"
"kai__0559173"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Fructobacillus"	"NA"	"kai__0559173"
"kai__1928820"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Eubacteriaceae"	"Intestinibacillus"	"NA"	"kai__1928820"
"kai__0000830"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Butyrivibrio"	"NA"	"kai__0000830"
"kai__0265975"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Oribacterium"	"NA"	"kai__0265975"
"kai__0002755"	"Firmicutes"	"Bacilli"	"Bacillales"	"Listeriaceae"	"Brochothrix"	"NA"	"kai__0002755"
"kai__0171413"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Dolosicoccus"	"NA"	"kai__0171413"
"kai__1501226"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Romboutsia"	"NA"	"kai__1501226"
"kai__2023266"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Merdimonas"	"NA"	"kai__2023266"
"kai__0002335"	"Thermotogae"	"Thermotogae"	"Thermotogales"	"Thermotogaceae"	"Thermotoga"	"NA"	"kai__0002335"
"kai__0283168"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Odoribacteraceae"	"Odoribacter"	"NA"	"kai__0283168"
"kai__0375288"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	"NA"	"kai__0375288"
