"_N10_Nuria_S301_L001"	"_N11_Nuria_S302_L001"	"_N12_Nuria_S303_L001"	"_N1_Nuria_S292_L001"	"_N2_Nuria_S293_L001"	"_N3_Nuria_S294_L001"	"_N4_Nuria_S295_L001"	"_N5_Nuria_S296_L001"	"_N6_Nuria_S297_L001"	"_N7_Nuria_S298_L001"	"_N8_Nuria_S299_L001"	"_N9_Nuria_S300_L001"
"kai__0028105"	0	0	0	0	0	0	0	0	24	0	0	0
"kai__0073918"	0	0	0	0	0	0	0	0	24	0	0	0
"kai__0332102"	0	0	0	0	0	0	0	0	24	0	0	0
"kai__0545865"	0	0	0	0	0	0	0	0	24	0	0	0
"kai__0941338"	0	0	0	0	0	0	0	0	24	0	0	0
"kai__1434702"	0	0	0	0	0	0	0	0	24	0	0	0
"kai__1648500"	0	0	0	0	0	0	0	0	24	0	0	0
"kai__1824856"	0	0	0	0	0	0	0	0	24	0	0	0
"kai__1912771"	0	0	0	0	0	0	0	0	24	0	0	0
"kai__1924101"	0	0	0	0	0	0	0	0	24	0	0	0
"kai__0000064"	0	0	0	0	0	0	0	0	23	0	0	0
"kai__0000499"	0	0	0	0	0	0	0	0	23	0	0	0
"kai__0000773"	0	0	0	0	0	0	0	0	23	0	0	0
"kai__0000936"	0	0	0	0	0	0	0	0	23	0	0	0
"kai__0001125"	0	0	0	0	0	0	0	0	23	0	0	0
"kai__0002263"	0	0	0	0	0	0	0	0	23	0	0	0
"kai__0012916"	0	0	0	0	0	0	0	0	23	0	0	0
"kai__0028253"	0	0	0	0	0	0	0	0	23	0	0	0
"kai__0033981"	0	0	0	0	0	0	0	0	23	0	0	0
"kai__0081466"	0	0	0	0	0	0	0	0	23	0	0	0
"kai__0135575"	0	0	0	0	0	0	0	0	23	0	0	0
"kai__0198251"	0	0	0	0	0	0	0	0	23	0	0	0
"kai__0269773"	0	0	0	0	0	0	0	0	23	0	0	0
"kai__0314318"	0	0	0	0	0	0	0	0	23	0	0	0
"kai__0866673"	0	0	0	0	0	0	0	0	23	0	0	0
"kai__1004301"	0	0	0	0	0	0	0	0	23	0	0	0
"kai__1505768"	0	0	0	0	0	0	0	0	23	0	0	0
"kai__1926651"	0	0	0	0	0	0	0	0	23	0	0	0
"kai__1960084"	0	0	0	0	0	0	0	0	23	0	0	0
"kai__0000032"	0	0	0	0	0	0	0	0	22	0	0	0
"kai__0000441"	0	0	0	0	0	0	0	0	22	0	0	0
"kai__0000497"	0	0	0	0	0	0	0	0	22	0	0	0
"kai__0013134"	0	0	0	0	0	0	0	0	22	0	0	0
"kai__0039643"	0	0	0	0	0	0	0	0	22	0	0	0
"kai__0048075"	0	0	0	0	0	0	0	0	22	0	0	0
"kai__0063132"	0	0	0	0	0	0	0	0	22	0	0	0
"kai__0091914"	0	0	0	0	0	0	0	0	22	0	0	0
"kai__0109169"	0	0	0	0	0	0	0	0	22	0	0	0
"kai__0119977"	0	0	0	0	0	0	0	0	22	0	0	0
"kai__0160795"	0	0	0	0	0	0	0	0	22	0	0	0
"kai__0213223"	0	0	0	0	0	0	0	0	22	0	0	0
"kai__0252356"	0	0	0	0	0	0	0	0	22	0	10	0
"kai__0292486"	0	0	0	0	0	0	0	0	22	0	0	0
"kai__0338321"	0	0	0	0	0	0	0	0	22	0	0	0
"kai__0466152"	0	0	0	0	0	0	0	0	22	0	0	0
"kai__0648800"	0	0	0	0	0	0	0	0	22	0	0	0
"kai__0767528"	0	0	0	0	0	0	0	0	22	0	0	0
"kai__1511648"	0	0	0	0	0	0	0	0	22	0	0	0
"kai__1649501"	0	0	0	0	0	0	0	0	22	0	0	0
"kai__1652133"	0	0	0	0	0	0	0	0	22	0	0	0
"kai__1676125"	0	0	0	0	0	0	0	0	22	0	0	0
"kai__0000222"	0	0	0	0	0	0	0	0	21	0	0	0
"kai__0001651"	0	0	0	0	0	0	0	0	21	0	0	0
"kai__0002184"	0	0	0	0	0	0	0	0	21	0	0	0
"kai__0002202"	0	0	0	0	0	0	0	0	21	0	0	0
"kai__0002420"	0	0	0	0	0	0	0	0	21	0	0	0
"kai__0028222"	0	0	0	0	0	0	0	0	21	0	0	0
"kai__0038501"	0	0	0	0	0	0	0	0	21	0	0	0
"kai__0044013"	0	0	0	0	0	0	0	0	21	0	0	0
"kai__0046123"	0	0	0	0	0	0	0	0	21	0	0	0
"kai__0067575"	0	0	0	0	0	0	0	0	21	0	0	0
"kai__0081463"	0	0	0	0	0	0	0	0	21	0	0	0
"kai__0085413"	0	0	0	0	0	0	0	0	21	0	0	0
"kai__0156993"	0	0	0	0	0	0	0	0	21	0	0	0
"kai__0186650"	0	0	0	0	0	0	0	0	21	0	0	0
"kai__0290174"	0	0	0	0	0	0	0	0	21	0	0	0
"kai__0390846"	0	0	0	0	0	0	0	0	21	0	0	0
"kai__0392825"	0	0	0	0	0	0	0	0	21	0	0	0
"kai__0485576"	0	0	0	0	0	0	0	0	21	0	0	0
"kai__0649462"	0	0	0	0	0	0	0	0	21	0	0	0
"kai__1082930"	0	0	0	0	0	0	0	0	21	0	0	0
"kai__1573806"	0	0	0	0	0	0	0	0	21	0	0	0
"kai__1643951"	0	0	0	0	0	0	0	0	21	0	0	0
"kai__0001041"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__0002717"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__0029298"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__0034008"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__0046352"	0	0	0	0	0	0	0	0	20	122	0	0
"kai__0048463"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__0053318"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__0075984"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__0081461"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__0122277"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__0153265"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__0171868"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__0177399"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__0182623"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__0236052"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__0236756"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__0299566"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__0305899"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__0395331"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__0471798"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__0475961"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__0908623"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__1616789"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__1686313"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__1738642"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__1827195"	0	0	0	0	0	0	0	0	20	0	0	0
"kai__0000085"	0	0	0	0	0	0	0	0	19	0	0	0
"kai__0033886"	0	0	0	0	0	0	0	0	19	0	0	0
"kai__0047670"	0	0	0	0	0	0	0	0	19	0	0	0
"kai__0089092"	0	0	0	0	0	0	0	0	19	0	0	0
"kai__0166953"	0	0	0	0	0	0	0	0	19	0	0	0
"kai__0168934"	0	0	0	0	0	0	0	0	19	0	0	0
"kai__0319458"	0	0	0	0	0	0	0	0	19	0	0	0
"kai__0358023"	0	0	0	0	0	0	0	0	19	0	0	0
"kai__0453229"	0	0	0	0	0	0	0	0	19	0	0	0
"kai__0497721"	0	0	0	0	0	0	0	0	19	0	0	0
"kai__0555078"	0	0	0	0	0	0	0	0	19	0	0	0
"kai__1170227"	0	0	0	0	0	0	0	0	19	0	0	0
"kai__1249554"	0	0	0	0	0	0	0	0	19	0	0	0
"kai__1400134"	0	0	0	0	0	0	0	0	19	0	0	0
"kai__1778601"	0	0	0	0	0	0	0	0	19	0	0	0
"kai__1868323"	0	0	0	0	0	0	0	0	19	0	0	0
"kai__0000010"	0	0	0	0	0	0	0	0	18	0	0	0
"kai__0013275"	0	0	0	0	0	0	0	0	18	0	0	0
"kai__0035836"	0	0	0	0	0	0	0	0	18	0	0	0
"kai__0045654"	0	0	0	0	0	0	0	0	18	0	0	0
"kai__0058050"	0	0	0	0	0	0	0	0	18	0	0	0
"kai__0071151"	0	0	0	0	0	0	0	0	18	0	0	0
"kai__0074030"	0	0	0	0	0	0	0	0	18	0	0	0
"kai__0213485"	0	0	0	0	0	0	0	0	18	0	0	0
"kai__0230494"	0	0	0	0	0	0	0	0	18	0	0	0
"kai__0265976"	0	0	0	0	0	0	0	0	18	0	0	0
"kai__0285107"	0	0	0	0	0	0	0	0	18	0	0	0
"kai__0331654"	0	0	0	0	0	0	0	0	18	0	0	0
"kai__0334107"	0	0	0	0	0	0	0	0	18	0	0	0
"kai__0392332"	0	0	0	0	0	0	0	0	18	0	0	0
"kai__1215913"	0	0	0	0	0	0	0	0	18	0	0	0
"kai__2066435"	0	0	0	0	0	0	0	0	18	0	0	0
"kai__0000187"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__0001107"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__0002175"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__0028186"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__0028228"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__0033874"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__0044675"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__0046238"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__0051194"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__0094008"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__0100715"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__0112987"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__0227873"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__0245186"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__0283735"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__0290731"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__0332162"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__0447237"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__0500614"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__0630723"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__0909928"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__1004303"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__1077265"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__1217415"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__1254401"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__1795789"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__1914234"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__1980685"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__2094023"	0	0	0	0	0	0	0	0	17	0	0	0
"kai__0000105"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0000138"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0000953"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0001060"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0001070"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0001111"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0002299"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0028065"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0033071"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0033969"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0046200"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0057499"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0065097"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0081411"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0106591"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0125216"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0157920"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0212743"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0245876"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0256846"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0271087"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0347533"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0361050"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0407021"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0427077"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0497742"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0743714"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__1007082"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__1172191"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__1193515"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__1742993"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__1792239"	0	0	0	0	0	0	0	0	16	0	0	0
"kai__0000429"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0001030"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0001849"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0001860"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0002225"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0028884"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0042417"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0053572"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0060136"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0066862"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0067572"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0075687"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0083551"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0083766"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0097050"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0141450"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0154116"	0	0	0	0	0	0	0	0	15	18	0	0
"kai__0168694"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0187144"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0218207"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0323449"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0373053"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0380240"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0414878"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0427753"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0504090"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0655184"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0682522"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0908284"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__1114981"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__1184606"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__1303912"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__1649480"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__1937963"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__2202177"	0	0	0	0	0	0	0	0	15	0	0	0
"kai__0000581"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0001007"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0029548"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0033001"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0034019"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0034037"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0035800"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0040118"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0058113"	0	0	0	0	0	0	0	0	14	70	0	0
"kai__0065496"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0093171"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0093217"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0093682"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0109168"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0178469"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0180541"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0196118"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0244698"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0281472"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0286130"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0292637"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0320933"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0332157"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0427922"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0475966"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0492233"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0568987"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0599651"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0909931"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__1150774"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__1154586"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__1245590"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__1434046"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__1647178"	0	0	0	0	0	0	0	0	14	31	0	0
"kai__1649482"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__1775574"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__1884429"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__1937972"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__1980513"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__2056696"	0	0	0	0	0	0	0	0	14	0	0	0
"kai__0001073"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0002357"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0028067"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0029407"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0033057"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0044474"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0046239"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0052605"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0053452"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0059740"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0076634"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0081416"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0082984"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0099479"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0118004"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0136099"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0146918"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0146936"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0160674"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0212790"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0258255"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0366614"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0422440"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0453849"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0458032"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0478070"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0496496"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0655352"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0666508"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0695982"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0907202"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__1032526"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__1321364"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__1434011"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__1434037"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__1494958"	0	0	0	0	0	0	0	0	13	10	0	0
"kai__1522056"	0	0	0	0	0	0	0	0	13	84	0	0
"kai__1535192"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__1621534"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__1649503"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__1859128"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__1914252"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__2024975"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__2038280"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__2109263"	0	0	0	0	0	0	0	0	13	0	0	0
"kai__0000101"	0	0	0	0	0	0	0	0	12	0	0	13
"kai__0000133"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0000965"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0001021"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0001099"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0002129"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0028233"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0034100"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0036739"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0039773"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0053634"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0083614"	0	0	0	0	0	0	0	0	12	47	0	0
"kai__0086795"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0093681"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0109262"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0117999"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0145260"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0168657"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0286104"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0286729"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0292691"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0300418"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0336260"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0382513"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0397275"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0398041"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0472568"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0633413"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0768650"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0861913"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0861914"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__1434043"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__1649295"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__1881091"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__2028344"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__2282756"	0	0	0	0	0	0	0	0	12	0	0	0
"kai__0000528"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0000579"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0001227"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0002040"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0002233"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0002321"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0028100"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0028209"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0029404"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0029580"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0034067"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0044011"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0056688"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0065047"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0083612"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0088358"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0089404"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0093368"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0111142"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0117156"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0146784"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0153027"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0196080"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0215802"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0224455"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0246263"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0288021"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0349742"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0364316"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0379546"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0444459"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0476528"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0483422"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0929509"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__1223423"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__1288026"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__1335631"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__1392997"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__1433998"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__1549126"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__1564515"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__1572763"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__1755683"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__1763555"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__1775292"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__1988031"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__2034504"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__2039723"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__2100764"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__2136116"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__2136118"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__2250122"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__2419833"	0	0	0	0	0	0	0	0	11	0	0	0
"kai__0000059"	0	0	0	0	0	0	0	0	10	0	0	0
"kai__0001023"	0	0	0	0	0	0	0	0	10	0	0	0
"kai__0001198"	0	0	0	0	0	0	0	0	10	0	0	0
"kai__0040413"	0	0	0	0	0	0	0	0	10	0	0	0
"kai__0051366"	0	0	0	0	0	0	0	0	10	0	0	0
"kai__0052972"	0	0	0	0	0	0	0	0	10	0	0	0
"kai__0059282"	0	0	0	0	0	0	0	0	10	0	0	0
"kai__0065502"	0	0	0	0	0	0	0	0	10	0	0	0
"kai__0075654"	0	0	0	0	0	0	0	0	10	0	0	0
"kai__0080865"	0	0	0	0	0	0	0	0	10	0	0	0
"kai__0090243"	0	0	0	0	0	0	0	0	10	0	0	0
"kai__0092793"	0	0	0	0	0	0	0	0	10	0	0	0
"kai__0116071"	0	0	0	0	0	0	0	0	10	0	0	0
"kai__0129577"	0	0	0	0	0	0	0	0	10	0	0	0
"kai__0132605"	0	0	0	0	0	0	0	0	10	0	0	0
"kai__0158483"	0	0	0	0	0	0	0	0	10	0	0	0
"kai__0188905"	0	0	0	0	0	0	0	0	10	0	0	0
