"_N10_Nuria_S301_L001"	"_N11_Nuria_S302_L001"	"_N12_Nuria_S303_L001"	"_N1_Nuria_S292_L001"	"_N2_Nuria_S293_L001"	"_N3_Nuria_S294_L001"	"_N4_Nuria_S295_L001"	"_N5_Nuria_S296_L001"	"_N6_Nuria_S297_L001"	"_N7_Nuria_S298_L001"	"_N8_Nuria_S299_L001"	"_N9_Nuria_S300_L001"
"kai__0074385"	0	0	13	0	0	0	0	0	174	15	0	0
"kai__0100883"	0	0	13	0	0	0	0	0	2516	27	0	0
"kai__1849822"	0	0	13	0	0	0	0	0	72	0	0	0
"kai__0000832"	0	0	12	0	0	0	0	0	1338	25	0	0
"kai__0001827"	0	0	12	0	0	0	0	0	84	56	0	0
"kai__0133925"	0	0	12	41	0	99	0	21	37381	18	0	402
"kai__0200670"	0	0	12	0	0	0	0	0	21	0	0	0
"kai__0292636"	0	0	12	0	0	0	0	0	66	0	0	0
"kai__2282523"	0	0	12	0	0	0	0	0	0	15	0	0
"kai__0000836"	0	0	11	0	0	0	0	0	343	19	10	0
"kai__0000904"	0	0	11	0	0	0	0	0	7046	27	19	0
"kai__0001649"	0	0	11	0	0	0	0	0	91	168	0	0
"kai__0191303"	0	0	11	0	0	0	0	0	331	25	0	0
"kai__0651660"	0	0	11	0	0	0	0	0	54	0	0	0
"kai__0001129"	0	0	10	0	0	0	0	0	111	10	0	0
"kai__0002132"	0	0	10	0	0	0	0	0	99	0	0	0
"kai__0002745"	0	0	10	0	0	0	0	0	155	22	0	51
"kai__0082800"	0	0	10	0	0	0	0	0	23	0	0	0
"kai__0162289"	0	0	10	0	0	0	0	0	1130	24	0	0
"kai__0175304"	0	0	10	0	0	0	0	0	101	0	0	0
"kai__0188143"	0	0	10	0	0	0	0	0	12	0	0	0
"kai__1935927"	0	0	10	0	0	0	0	0	1429	20	0	0
"kai__0155493"	0	0	0	605	666	323	0	0	50	0	0	200
"kai__1912216"	0	0	0	39	0	113	0	0	64	13	0	34
"kai__0000171"	0	0	0	22	11	15	0	11	94	0	0	29
"kai__0207244"	0	0	0	21	0	97	0	0	41405	90	42	0
"kai__0000113"	0	0	0	18	0	0	0	0	10	0	0	17
"kai__0231683"	0	0	0	16	12	0	0	0	17	0	0	18
"kai__0000642"	0	0	0	13	0	0	0	0	66	0	0	12
"kai__0000620"	0	0	0	11	0	0	0	28	170	0	0	24
"kai__0000776"	0	0	0	11	0	0	0	12	10	0	0	0
"kai__0000570"	0	0	0	0	0	430	0	11	631	1119	18	1912
"kai__1935200"	0	0	0	0	0	25	0	0	10326	40	11	0
"kai__1847725"	0	0	0	0	0	23	0	0	16	0	0	10
"kai__0053335"	0	0	0	0	0	20	0	0	104	28	0	10
"kai__0001707"	0	0	0	0	0	18	0	0	117	20	0	0
"kai__1649459"	0	0	0	0	0	18	0	0	5786	37	18	0
"kai__1905344"	0	0	0	0	0	17	0	0	5003	10	0	0
"kai__1432051"	0	0	0	0	0	14	0	0	3037	19	0	0
"kai__1981033"	0	0	0	0	0	13	0	0	4236	39	16	0
"kai__0000262"	0	0	0	0	0	12	0	0	27	23	0	60
"kai__0000407"	0	0	0	0	0	12	0	0	37	13	0	0
"kai__0248744"	0	0	0	0	0	12	0	0	4382	26	14	0
"kai__1924105"	0	0	0	0	0	11	0	0	3829	22	11	0
"kai__0000191"	0	0	0	0	0	10	0	0	3531	33	28	0
"kai__0000434"	0	0	0	0	0	10	0	0	3257	18	0	0
"kai__0001743"	0	0	0	0	0	10	0	0	605	11	0	0
"kai__0049082"	0	0	0	0	0	0	19	0	186	0	0	0
"kai__0000590"	0	0	0	0	0	0	0	10	108	13	0	23
"kai__0172900"	0	0	0	0	0	0	0	0	4997	0	0	0
"kai__1080709"	0	0	0	0	0	0	0	0	4693	13	27	0
"kai__1935176"	0	0	0	0	0	0	0	0	4456	10	0	0
"kai__0002086"	0	0	0	0	0	0	0	0	3565	0	0	0
"kai__1392389"	0	0	0	0	0	0	0	0	3445	10	0	0
"kai__0588605"	0	0	0	0	0	0	0	0	3085	35	0	0
"kai__1573534"	0	0	0	0	0	0	0	0	3011	35	0	0
"kai__2005359"	0	0	0	0	0	0	0	0	2678	25	0	0
"kai__0420345"	0	0	0	0	0	0	0	0	2586	10	0	0
"kai__0990721"	0	0	0	0	0	0	0	0	2514	15	0	0
"kai__1763508"	0	0	0	0	0	0	0	0	2342	21	0	0
"kai__0084111"	0	0	0	0	0	0	0	0	2214	34	0	0
"kai__0000522"	0	0	0	0	0	0	0	0	2111	0	0	0
"kai__2172004"	0	0	0	0	0	0	0	0	2033	11	0	0
"kai__2126006"	0	0	0	0	0	0	0	0	2027	12	0	0
"kai__1573536"	0	0	0	0	0	0	0	0	1975	0	0	0
"kai__0241189"	0	0	0	0	0	0	0	0	1860	21	0	0
"kai__1918385"	0	0	0	0	0	0	0	0	1812	0	0	0
"kai__1843210"	0	0	0	0	0	0	0	0	1796	12	0	0
"kai__1987010"	0	0	0	0	0	0	0	0	1793	15	0	0
"kai__0000906"	0	0	0	0	0	0	0	0	1737	15	0	0
"kai__0000872"	0	0	0	0	0	0	0	0	1709	0	0	0
"kai__0061170"	0	0	0	0	0	0	0	0	1649	0	0	0
"kai__0000848"	0	0	0	0	0	0	0	0	1593	13	0	0
"kai__1427378"	0	0	0	0	0	0	0	0	1571	14	0	0
"kai__1506577"	0	0	0	0	0	0	0	0	1547	62	18	0
"kai__1508657"	0	0	0	0	0	0	0	0	1498	15	0	0
"kai__1924081"	0	0	0	0	0	0	0	0	1444	0	0	0
"kai__1929305"	0	0	0	0	0	0	0	0	1419	15	0	0
"kai__1663717"	0	0	0	0	0	0	0	0	1237	13	0	0
"kai__0084108"	0	0	0	0	0	0	0	0	1229	0	0	0
"kai__1472762"	0	0	0	0	0	0	0	0	1204	0	0	0
"kai__0002147"	0	0	0	0	0	0	0	0	1149	13	0	0
"kai__2304692"	0	0	0	0	0	0	0	0	1146	0	0	0
"kai__0044748"	0	0	0	0	0	0	0	0	1141	0	0	0
"kai__1929045"	0	0	0	0	0	0	0	0	1136	0	0	0
"kai__0035829"	0	0	0	0	0	0	0	0	1106	0	0	0
"kai__0079206"	0	0	0	0	0	0	0	0	1088	0	0	0
"kai__1980693"	0	0	0	0	0	0	0	0	1057	0	0	0
"kai__1855714"	0	0	0	0	0	0	0	0	969	0	0	0
"kai__1926677"	0	0	0	0	0	0	0	0	961	23	0	0
"kai__1470349"	0	0	0	0	0	0	0	0	938	0	0	0
"kai__0028050"	0	0	0	0	0	0	0	0	926	0	0	0
"kai__0100175"	0	0	0	0	0	0	0	0	926	0	0	0
"kai__0001266"	0	0	0	0	0	0	0	0	857	0	0	0
"kai__0596767"	0	0	0	0	0	0	0	0	846	0	0	0
"kai__0698776"	0	0	0	0	0	0	0	0	845	0	0	0
"kai__1987016"	0	0	0	0	0	0	0	0	828	0	0	0
"kai__2163168"	0	0	0	0	0	0	0	0	810	0	0	0
"kai__0158846"	0	0	0	0	0	0	0	0	784	0	0	0
"kai__0002383"	0	0	0	0	0	0	0	0	779	0	0	0
"kai__1164882"	0	0	0	0	0	0	0	0	774	0	0	0
"kai__0001380"	0	0	0	0	0	0	0	0	754	0	0	0
"kai__0135858"	0	0	0	0	0	0	0	0	735	0	0	0
"kai__1987749"	0	0	0	0	0	0	0	0	729	0	0	0
"kai__0264995"	0	0	0	0	0	0	0	0	724	0	0	0
"kai__0653683"	0	0	0	0	0	0	0	0	722	0	0	0
