"_N10_Nuria_S301_L001"	"_N11_Nuria_S302_L001"	"_N12_Nuria_S303_L001"	"_N1_Nuria_S292_L001"	"_N2_Nuria_S293_L001"	"_N3_Nuria_S294_L001"	"_N4_Nuria_S295_L001"	"_N5_Nuria_S296_L001"	"_N6_Nuria_S297_L001"	"_N7_Nuria_S298_L001"	"_N8_Nuria_S299_L001"	"_N9_Nuria_S300_L001"
"kai__1911565"	0	0	0	0	0	0	0	0	0.000376	0	0	0
"kai__0000075"	0	0	0	0	0	0	0	0	0.000366	0	0	0
"kai__0029526"	0	0	0	0	0	0	0	0	0.000366	0	0	0
"kai__0045247"	0	0	0	0	0	0	0	0	0.000366	0	0	0
"kai__0047251"	0	0	0	0	0	0	0	0	0.000366	0	0	0
"kai__0052959"	0	0	0	0	0	0	0	0	0.000366	0	0	0
"kai__0068335"	0	0	0	0	0	0	0	0	0.000366	0	0	0
"kai__0204037"	0	0	0	0	0	0	0	0	0.000366	0	0	0
"kai__0308865"	0	0	0	0	0	0	0	0	0.000366	0	0	0
"kai__0442430"	0	0	0	0	0	0	0	0	0.000366	0	0	0
"kai__0467084"	0	0	0	0	0	0	0	0	0.000366	0	0	0
"kai__0475965"	0	0	0	0	0	0	0	0	0.000366	0	0	0
"kai__1860139"	0	0	0	0	0	0	0	0	0.000366	0	0	0
"kai__1912217"	0	0	0	0	0	0	0	0	0.000366	0.00044	0	0
"kai__0000843"	0	0	0	0	0	0	0	0	0.000356	0	0	0
"kai__0150059"	0	0	0	0	0	0	0	0	0.000356	0	0	0
"kai__0351195"	0	0	0	0	0	0	0	0	0.000356	0	0	0
"kai__0416949"	0	0	0	0	0	0	0	0	0.000356	0.000616	0	0
"kai__1155934"	0	0	0	0	0	0	0	0	0.000356	0	0	0
"kai__1335745"	0	0	0	0	0	0	0	0	0.000356	0	0	0
"kai__1649478"	0	0	0	0	0	0	0	0	0.000356	0	0	0
"kai__1905726"	0	0	0	0	0	0	0	0	0.000356	0	0	0
"kai__2483368"	0	0	0	0	0	0	0	0	0.000356	0	0	0
"kai__0001740"	0	0	0	0	0	0	0	0	0.000345	0	0	0
"kai__0076890"	0	0	0	0	0	0	0	0	0.000345	0	0	0
"kai__0160798"	0	0	0	0	0	0	0	0	0.000345	0	0	0
"kai__0202949"	0	0	0	0	0	0	0	0	0.000345	0	0	0
"kai__0294702"	0	0	0	0	0	0	0	0	0.000345	0	0	0
"kai__0551771"	0	0	0	0	0	0	0	0	0.000345	0	0	0
"kai__0665874"	0	0	0	0	0	0	0	0	0.000345	0	0	0
"kai__1522429"	0	0	0	0	0	0	0	0	0.000345	0	0	0
"kai__0001177"	0	0	0	0	0	0	0	0	0.000335	0	0	0
"kai__0002735"	0	0	0	0	0	0	0	0	0.000335	0	0	0
"kai__0043773"	0	0	0	0	0	0	0	0	0.000335	0	0	0
"kai__0083618"	0	0	0	0	0	0	0	0	0.000335	0.000748	0	0
"kai__0084404"	0	0	0	0	0	0	0	0	0.000335	0	0	0
"kai__0428711"	0	0	0	0	0	0	0	0	0.000335	0	0	0
"kai__0000283"	0	0	0	0	0	0	0	0	0.000324	0	0	0
"kai__0000586"	0	0	0	0	0	0	0	0	0.000324	0	0	0
"kai__0002204"	0	0	0	0	0	0	0	0	0.000324	0	0	0
"kai__0112008"	0	0	0	0	0	0	0	0	0.000324	0	0	0
"kai__0367298"	0	0	0	0	0	0	0	0	0.000324	0	0	0
"kai__1291539"	0	0	0	0	0	0	0	0	0.000324	0	0	0
"kai__1408194"	0	0	0	0	0	0	0	0	0.000324	0	0	0
"kai__1940407"	0	0	0	0	0	0	0	0	0.000324	0	0	0
"kai__0000551"	0	0	0	0	0	0	0	0	0.000314	0	0	0
"kai__0002071"	0	0	0	0	0	0	0	0	0.000314	0	0	0
"kai__0002220"	0	0	0	0	0	0	0	0	0.000314	0	0	0
"kai__0033877"	0	0	0	0	0	0	0	0	0.000314	0	0	0
"kai__0068288"	0	0	0	0	0	0	0	0	0.000314	0	0	0
"kai__0071655"	0	0	0	0	0	0	0	0	0.000314	0	0	0
"kai__0075309"	0	0	0	0	0	0	0	0	0.000314	0	0	0
"kai__0149698"	0	0	0	0	0	0	0	0	0.000314	0	0	0
"kai__0167639"	0	0	0	0	0	0	0	0	0.000314	0	0	0
"kai__0207599"	0	0	0	0	0	0	0	0	0.000314	0	0	0
"kai__0231454"	0	0	0	0	0	0	0	0	0.000314	0	0	0
"kai__0233191"	0	0	0	0	0	0	0	0	0.000314	0	0	0
"kai__0649460"	0	0	0	0	0	0	0	0	0.000314	0	0	0
"kai__1182780"	0	0	0	0	0	0	0	0	0.000314	0	0	0
"kai__1607807"	0	0	0	0	0	0	0	0	0.000314	0	0	0
"kai__1923871"	0	0	0	0	0	0	0	0	0.000314	0	0	0
"kai__2019482"	0	0	0	0	0	0	0	0	0.000314	0	0	0
"kai__0000020"	0	0	0	0	0	0	0	0	0.000303	0	0	0
"kai__0001091"	0	0	0	0	0	0	0	0	0.000303	0	0	0
"kai__0001234"	0	0	0	0	0	0	0	0	0.000303	0	0	0
"kai__0001370"	0	0	0	0	0	0	0	0	0.000303	0	0	0
"kai__0002733"	0	0	0	0	0	0	0	0	0.000303	0	0	0
"kai__0033976"	0	0	0	0	0	0	0	0	0.000303	0	0	0
"kai__0034072"	0	0	0	0	0	0	0	0	0.000303	0	0	0
"kai__0161492"	0	0	0	0	0	0	0	0	0.000303	0	0	0
"kai__0363276"	0	0	0	0	0	0	0	0	0.000303	0	0	0
"kai__0392733"	0	0	0	0	0	0	0	0	0.000303	0	0	0
"kai__0456826"	0	0	0	0	0	0	0	0	0.000303	0	0	0
"kai__1255275"	0	0	0	0	0	0	0	0	0.000303	0	0	0
"kai__1433300"	0	0	0	0	0	0	0	0	0.000303	0	0	0
"kai__1434028"	0	0	0	0	0	0	0	0	0.000303	0	0	0
"kai__2017975"	0	0	0	0	0	0	0	0	0.000303	0	0	0
"kai__2026179"	0	0	0	0	0	0	0	0	0.000303	0	0	0
"kai__2170555"	0	0	0	0	0	0	0	0	0.000303	0	0	0
"kai__2508983"	0	0	0	0	0	0	0	0	0.000303	0	0	0
"kai__0001988"	0	0	0	0	0	0	0	0	0.000293	0	0	0
"kai__0034084"	0	0	0	0	0	0	0	0	0.000293	0	0	0
"kai__0035838"	0	0	0	0	0	0	0	0	0.000293	0	0	0
"kai__0049894"	0	0	0	0	0	0	0	0	0.000293	0	0	0
"kai__0053460"	0	0	0	0	0	0	0	0	0.000293	0	0	0
"kai__0106633"	0	0	0	0	0	0	0	0	0.000293	0	0	0
"kai__0265488"	0	0	0	0	0	0	0	0	0.000293	0	0	0
"kai__0281915"	0	0	0	0	0	0	0	0	0.000293	0	0	0
"kai__0293088"	0	0	0	0	0	0	0	0	0.000293	0	0	0
"kai__0307628"	0	0	0	0	0	0	0	0	0.000293	0	0	0
"kai__0351094"	0	0	0	0	0	0	0	0	0.000293	0	0	0
"kai__0393029"	0	0	0	0	0	0	0	0	0.000293	0	0	0
"kai__0482460"	0	0	0	0	0	0	0	0	0.000293	0	0	0
"kai__0633405"	0	0	0	0	0	0	0	0	0.000293	0	0	0
"kai__1193324"	0	0	0	0	0	0	0	0	0.000293	0	0	0
"kai__1495038"	0	0	0	0	0	0	0	0	0.000293	0	0	0
"kai__1582879"	0	0	0	0	0	0	0	0	0.000293	0	0	0
"kai__1676651"	0	0	0	0	0	0	0	0	0.000293	0	0	0
"kai__1677050"	0	0	0	0	0	0	0	0	0.000293	0	0	0
"kai__0000357"	0	0	0	0	0	0	0	0	0.000282	0	0	0
"kai__0065551"	0	0	0	0	0	0	0	0	0.000282	0	0	0
"kai__0076831"	0	0	0	0	0	0	0	0	0.000282	0	0	0
"kai__0178440"	0	0	0	0	0	0	0	0	0.000282	0	0	0
"kai__0192987"	0	0	0	0	0	0	0	0	0.000282	0	0	0.002311
"kai__0261933"	0	0	0	0	0	0	0	0	0.000282	0	0	0
"kai__0312278"	0	0	0	0	0	0	0	0	0.000282	0	0	0
"kai__0331971"	0	0	0	0	0	0	0	0	0.000282	0	0	0
"kai__0361177"	0	0	0	0	0	0	0	0	0.000282	0	0	0
"kai__0768669"	0	0	0	0	0	0	0	0	0.000282	0	0	0
"kai__1434045"	0	0	0	0	0	0	0	0	0.000282	0	0	0
"kai__1609627"	0	0	0	0	0	0	0	0	0.000282	0	0	0
"kai__0000629"	0	0	0	0	0	0	0	0	0.000272	0	0	0
"kai__0001056"	0	0	0	0	0	0	0	0	0.000272	0	0	0
"kai__0002289"	0	0	0	0	0	0	0	0	0.000272	0	0	0
"kai__0032012"	0	0	0	0	0	0	0	0	0.000272	0	0	0
"kai__0032636"	0	0	0	0	0	0	0	0	0.000272	0	0	0
"kai__0041275"	0	0	0	0	0	0	0	0	0.000272	0	0	0
"kai__0227388"	0	0	0	0	0	0	0	0	0.000272	0	0	0
"kai__0228398"	0	0	0	0	0	0	0	0	0.000272	0	0	0
"kai__0290180"	0	0	0	0	0	0	0	0	0.000272	0	0	0
"kai__0437506"	0	0	0	0	0	0	0	0	0.000272	0	0	0
"kai__0475960"	0	0	0	0	0	0	0	0	0.000272	0	0	0
"kai__1005722"	0	0	0	0	0	0	0	0	0.000272	0	0	0
"kai__1236218"	0	0	0	0	0	0	0	0	0.000272	0	0	0
"kai__0000780"	0	0	0	0	0	0	0	0	0.000261	0	0	0
"kai__0002063"	0	0	0	0	0	0	0	0	0.000261	0	0	0
"kai__0035798"	0	0	0	0	0	0	0	0	0.000261	0	0	0
"kai__0045989"	0	0	0	0	0	0	0	0	0.000261	0	0	0
"kai__0142841"	0	0	0	0	0	0	0	0	0.000261	0	0	0
"kai__0196081"	0	0	0	0	0	0	0	0	0.000261	0	0	0
"kai__0241192"	0	0	0	0	0	0	0	0	0.000261	0	0	0
"kai__0254250"	0	0	0	0	0	0	0	0	0.000261	0	0	0
"kai__0292480"	0	0	0	0	0	0	0	0	0.000261	0.000748	0	0
"kai__0651456"	0	0	0	0	0	0	0	0	0.000261	0	0	0
"kai__0700450"	0	0	0	0	0	0	0	0	0.000261	0	0	0
"kai__1270155"	0	0	0	0	0	0	0	0	0.000261	0	0	0
"kai__1379908"	0	0	0	0	0	0	0	0	0.000261	0	0	0
"kai__1940395"	0	0	0	0	0	0	0	0	0.000261	0	0	0
"kai__2024958"	0	0	0	0	0	0	0	0	0.000261	0	0	0
"kai__2034765"	0	0	0	0	0	0	0	0	0.000261	0	0	0
"kai__0000933"	0	0	0	0	0	0	0	0	0.000251	0	0	0
"kai__0028105"	0	0	0	0	0	0	0	0	0.000251	0	0	0
"kai__0073918"	0	0	0	0	0	0	0	0	0.000251	0	0	0
"kai__0332102"	0	0	0	0	0	0	0	0	0.000251	0	0	0
"kai__0545865"	0	0	0	0	0	0	0	0	0.000251	0	0	0
"kai__0941338"	0	0	0	0	0	0	0	0	0.000251	0	0	0
"kai__1434702"	0	0	0	0	0	0	0	0	0.000251	0	0	0
"kai__1648500"	0	0	0	0	0	0	0	0	0.000251	0	0	0
"kai__1824856"	0	0	0	0	0	0	0	0	0.000251	0	0	0
"kai__1912771"	0	0	0	0	0	0	0	0	0.000251	0	0	0
"kai__1924101"	0	0	0	0	0	0	0	0	0.000251	0	0	0
"kai__0000064"	0	0	0	0	0	0	0	0	0.00024	0	0	0
"kai__0000499"	0	0	0	0	0	0	0	0	0.00024	0	0	0
"kai__0000773"	0	0	0	0	0	0	0	0	0.00024	0	0	0
"kai__0000936"	0	0	0	0	0	0	0	0	0.00024	0	0	0
"kai__0001125"	0	0	0	0	0	0	0	0	0.00024	0	0	0
"kai__0002263"	0	0	0	0	0	0	0	0	0.00024	0	0	0
"kai__0012916"	0	0	0	0	0	0	0	0	0.00024	0	0	0
"kai__0028253"	0	0	0	0	0	0	0	0	0.00024	0	0	0
"kai__0033981"	0	0	0	0	0	0	0	0	0.00024	0	0	0
"kai__0081466"	0	0	0	0	0	0	0	0	0.00024	0	0	0
"kai__0135575"	0	0	0	0	0	0	0	0	0.00024	0	0	0
"kai__0198251"	0	0	0	0	0	0	0	0	0.00024	0	0	0
"kai__0269773"	0	0	0	0	0	0	0	0	0.00024	0	0	0
"kai__0314318"	0	0	0	0	0	0	0	0	0.00024	0	0	0
"kai__0866673"	0	0	0	0	0	0	0	0	0.00024	0	0	0
"kai__1004301"	0	0	0	0	0	0	0	0	0.00024	0	0	0
"kai__1505768"	0	0	0	0	0	0	0	0	0.00024	0	0	0
"kai__1926651"	0	0	0	0	0	0	0	0	0.00024	0	0	0
"kai__1960084"	0	0	0	0	0	0	0	0	0.00024	0	0	0
"kai__0000032"	0	0	0	0	0	0	0	0	0.00023	0	0	0
"kai__0000441"	0	0	0	0	0	0	0	0	0.00023	0	0	0
"kai__0000497"	0	0	0	0	0	0	0	0	0.00023	0	0	0
"kai__0013134"	0	0	0	0	0	0	0	0	0.00023	0	0	0
"kai__0039643"	0	0	0	0	0	0	0	0	0.00023	0	0	0
"kai__0048075"	0	0	0	0	0	0	0	0	0.00023	0	0	0
"kai__0063132"	0	0	0	0	0	0	0	0	0.00023	0	0	0
"kai__0091914"	0	0	0	0	0	0	0	0	0.00023	0	0	0
"kai__0109169"	0	0	0	0	0	0	0	0	0.00023	0	0	0
"kai__0119977"	0	0	0	0	0	0	0	0	0.00023	0	0	0
"kai__0160795"	0	0	0	0	0	0	0	0	0.00023	0	0	0
"kai__0213223"	0	0	0	0	0	0	0	0	0.00023	0	0	0
"kai__0252356"	0	0	0	0	0	0	0	0	0.00023	0	0.006617	0
"kai__0292486"	0	0	0	0	0	0	0	0	0.00023	0	0	0
"kai__0338321"	0	0	0	0	0	0	0	0	0.00023	0	0	0
"kai__0466152"	0	0	0	0	0	0	0	0	0.00023	0	0	0
"kai__0648800"	0	0	0	0	0	0	0	0	0.00023	0	0	0
"kai__0767528"	0	0	0	0	0	0	0	0	0.00023	0	0	0
"kai__1511648"	0	0	0	0	0	0	0	0	0.00023	0	0	0
"kai__1649501"	0	0	0	0	0	0	0	0	0.00023	0	0	0
"kai__1652133"	0	0	0	0	0	0	0	0	0.00023	0	0	0
"kai__1676125"	0	0	0	0	0	0	0	0	0.00023	0	0	0
"kai__0000222"	0	0	0	0	0	0	0	0	0.00022	0	0	0
"kai__0001651"	0	0	0	0	0	0	0	0	0.00022	0	0	0
"kai__0002184"	0	0	0	0	0	0	0	0	0.00022	0	0	0
"kai__0002202"	0	0	0	0	0	0	0	0	0.00022	0	0	0
"kai__0002420"	0	0	0	0	0	0	0	0	0.00022	0	0	0
"kai__0028222"	0	0	0	0	0	0	0	0	0.00022	0	0	0
"kai__0038501"	0	0	0	0	0	0	0	0	0.00022	0	0	0
"kai__0044013"	0	0	0	0	0	0	0	0	0.00022	0	0	0
"kai__0046123"	0	0	0	0	0	0	0	0	0.00022	0	0	0
"kai__0067575"	0	0	0	0	0	0	0	0	0.00022	0	0	0
"kai__0081463"	0	0	0	0	0	0	0	0	0.00022	0	0	0
"kai__0085413"	0	0	0	0	0	0	0	0	0.00022	0	0	0
"kai__0156993"	0	0	0	0	0	0	0	0	0.00022	0	0	0
"kai__0186650"	0	0	0	0	0	0	0	0	0.00022	0	0	0
"kai__0290174"	0	0	0	0	0	0	0	0	0.00022	0	0	0
"kai__0390846"	0	0	0	0	0	0	0	0	0.00022	0	0	0
"kai__0392825"	0	0	0	0	0	0	0	0	0.00022	0	0	0
"kai__0485576"	0	0	0	0	0	0	0	0	0.00022	0	0	0
"kai__0649462"	0	0	0	0	0	0	0	0	0.00022	0	0	0
"kai__1082930"	0	0	0	0	0	0	0	0	0.00022	0	0	0
"kai__1573806"	0	0	0	0	0	0	0	0	0.00022	0	0	0
"kai__1643951"	0	0	0	0	0	0	0	0	0.00022	0	0	0
"kai__0001041"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__0002717"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__0029298"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__0034008"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__0046352"	0	0	0	0	0	0	0	0	0.000209	0.005371	0	0
"kai__0048463"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__0053318"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__0075984"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__0081461"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__0122277"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__0153265"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__0171868"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__0177399"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__0182623"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__0236052"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__0236756"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__0299566"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__0305899"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__0395331"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__0471798"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__0475961"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__0908623"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__1616789"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__1686313"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__1738642"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__1827195"	0	0	0	0	0	0	0	0	0.000209	0	0	0
"kai__0000085"	0	0	0	0	0	0	0	0	0.000199	0	0	0
"kai__0033886"	0	0	0	0	0	0	0	0	0.000199	0	0	0
"kai__0047670"	0	0	0	0	0	0	0	0	0.000199	0	0	0
"kai__0089092"	0	0	0	0	0	0	0	0	0.000199	0	0	0
"kai__0166953"	0	0	0	0	0	0	0	0	0.000199	0	0	0
"kai__0168934"	0	0	0	0	0	0	0	0	0.000199	0	0	0
"kai__0319458"	0	0	0	0	0	0	0	0	0.000199	0	0	0
"kai__0358023"	0	0	0	0	0	0	0	0	0.000199	0	0	0
"kai__0453229"	0	0	0	0	0	0	0	0	0.000199	0	0	0
"kai__0497721"	0	0	0	0	0	0	0	0	0.000199	0	0	0
"kai__0555078"	0	0	0	0	0	0	0	0	0.000199	0	0	0
"kai__1170227"	0	0	0	0	0	0	0	0	0.000199	0	0	0
"kai__1249554"	0	0	0	0	0	0	0	0	0.000199	0	0	0
"kai__1400134"	0	0	0	0	0	0	0	0	0.000199	0	0	0
"kai__1778601"	0	0	0	0	0	0	0	0	0.000199	0	0	0
"kai__1868323"	0	0	0	0	0	0	0	0	0.000199	0	0	0
"kai__0000010"	0	0	0	0	0	0	0	0	0.000188	0	0	0
"kai__0013275"	0	0	0	0	0	0	0	0	0.000188	0	0	0
"kai__0035836"	0	0	0	0	0	0	0	0	0.000188	0	0	0
"kai__0045654"	0	0	0	0	0	0	0	0	0.000188	0	0	0
"kai__0058050"	0	0	0	0	0	0	0	0	0.000188	0	0	0
"kai__0071151"	0	0	0	0	0	0	0	0	0.000188	0	0	0
"kai__0074030"	0	0	0	0	0	0	0	0	0.000188	0	0	0
"kai__0213485"	0	0	0	0	0	0	0	0	0.000188	0	0	0
"kai__0230494"	0	0	0	0	0	0	0	0	0.000188	0	0	0
"kai__0265976"	0	0	0	0	0	0	0	0	0.000188	0	0	0
"kai__0285107"	0	0	0	0	0	0	0	0	0.000188	0	0	0
"kai__0331654"	0	0	0	0	0	0	0	0	0.000188	0	0	0
"kai__0334107"	0	0	0	0	0	0	0	0	0.000188	0	0	0
"kai__0392332"	0	0	0	0	0	0	0	0	0.000188	0	0	0
"kai__1215913"	0	0	0	0	0	0	0	0	0.000188	0	0	0
"kai__2066435"	0	0	0	0	0	0	0	0	0.000188	0	0	0
"kai__0000187"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__0001107"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__0002175"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__0028186"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__0028228"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__0033874"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__0044675"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__0046238"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__0051194"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__0094008"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__0100715"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__0112987"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__0227873"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__0245186"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__0283735"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__0290731"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__0332162"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__0447237"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__0500614"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__0630723"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__0909928"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__1004303"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__1077265"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__1217415"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__1254401"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__1795789"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__1914234"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__1980685"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__2094023"	0	0	0	0	0	0	0	0	0.000178	0	0	0
"kai__0000105"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0000138"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0000953"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0001060"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0001070"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0001111"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0002299"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0028065"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0033071"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0033969"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0046200"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0057499"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0065097"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0081411"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0106591"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0125216"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0157920"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0212743"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0245876"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0256846"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0271087"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0347533"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0361050"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0407021"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0427077"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0497742"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0743714"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__1007082"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__1172191"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__1193515"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__1742993"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__1792239"	0	0	0	0	0	0	0	0	0.000167	0	0	0
"kai__0000429"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0001030"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0001849"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0001860"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0002225"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0028884"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0042417"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0053572"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0060136"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0066862"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0067572"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0075687"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0083551"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0083766"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0097050"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0141450"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0154116"	0	0	0	0	0	0	0	0	0.000157	0.000792	0	0
"kai__0168694"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0187144"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0218207"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0323449"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0373053"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0380240"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0414878"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0427753"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0504090"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0655184"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0682522"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0908284"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__1114981"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__1184606"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__1303912"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__1649480"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__1937963"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__2202177"	0	0	0	0	0	0	0	0	0.000157	0	0	0
"kai__0000581"	0	0	0	0	0	0	0	0	0.000146	0	0	0
"kai__0001007"	0	0	0	0	0	0	0	0	0.000146	0	0	0
"kai__0029548"	0	0	0	0	0	0	0	0	0.000146	0	0	0
"kai__0033001"	0	0	0	0	0	0	0	0	0.000146	0	0	0
"kai__0034019"	0	0	0	0	0	0	0	0	0.000146	0	0	0
"kai__0034037"	0	0	0	0	0	0	0	0	0.000146	0	0	0
"kai__0035800"	0	0	0	0	0	0	0	0	0.000146	0	0	0
"kai__0040118"	0	0	0	0	0	0	0	0	0.000146	0	0	0
"kai__0058113"	0	0	0	0	0	0	0	0	0.000146	0.003082	0	0
"kai__0065496"	0	0	0	0	0	0	0	0	0.000146	0	0	0
"kai__0093171"	0	0	0	0	0	0	0	0	0.000146	0	0	0
"kai__0093217"	0	0	0	0	0	0	0	0	0.000146	0	0	0
"kai__0093682"	0	0	0	0	0	0	0	0	0.000146	0	0	0
"kai__0109168"	0	0	0	0	0	0	0	0	0.000146	0	0	0
